Segmentation,Cluster,Sensitivity
Atropos,Cluster2,0.587110359019196
Atropos,Cluster3,0.952032074092322
ElBicho,Cluster0,0.999907017779116
ElBicho,Cluster1,4.88627904652786e-133
ElBicho,Cluster2,0.726904945501833
ElBicho,Cluster3,0.928986937789404
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.249273688077792
LinearBinning,Cluster2,0.604603051932729
LinearBinning,Cluster3,0.998479764660727
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0.0197133344418666
KMeans,Cluster2,0.0717924687693368
KMeans,Cluster3,0.99999999999896
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.999999999951041
Atropos,Cluster2,0.606179210682155
Atropos,Cluster3,0.982442361666141
ElBicho,Cluster0,0.999999999999935
ElBicho,Cluster1,0.0447249799108514
ElBicho,Cluster2,0.770321005512582
